customer_id	tot_travel_sales	tot_sales	travel_sales_percentage
2876	21	21	100,000000
2878	84	84	100,000000
2879	9	9	100,000000
2880	32	32	100,000000
2881	18	18	100,000000
2882	15	15	100,000000
2883	4	4	100,000000
2885	10	10	100,000000
2886	0	21	,000000
2887	5	5	100,000000
2888	17	17	100,000000
2889	2	2	100,000000
2890	28	45	62,222222
2891	4	4	100,000000
2892	9	9	100,000000
2893	38	38	100,000000
2894	0	26	,000000
2896	72	72	100,000000
2897	18	18	100,000000
2898	7	7	100,000000
2899	0	10	,000000
2900	18	18	100,000000
2901	74	74	100,000000
2902	6	6	100,000000
2903	14	14	100,000000
2904	31	31	100,000000
2905	93	93	100,000000
2906	10	10	100,000000
2907	13	13	100,000000
2908	81	81	100,000000
2909	10	10	100,000000
2910	9	9	100,000000
2911	32	32	100,000000
